Open,Close,High,Low,Volume,Date
0,102.55,0,0,,04/21/25
103.5,103.5,103.5,103.5,,04/17/25
104.5,103.5,104.7,103.5,,04/16/25
104.5,104.5,104.5,104,,04/15/25
103.75,103.75,103.75,103.75,,04/14/25
103,103,103,103,,04/11/25
102.75,102.75,102.75,102.75,,04/10/25
101.5,101.5,102.5,101.5,,04/09/25
102.5,102.7,102.7,102.5,,04/08/25
101,102,103,101,,04/07/25
99.3,99.7,100.05,99.3,,04/04/25
0,101.25,0,0,,04/03/25
105,104.25,105,104.25,,04/02/25
105,106.2,106.2,104.5,,04/01/25
104,104.45,104.45,103.15,,03/31/25
0,101.3,0,0,,03/28/25
98,98,98,98,,03/27/25
0,97.6,0,0,,03/26/25
0,97.05,0,0,,03/25/25
0,97.6,0,0,,03/24/25
98.25,98.25,98.25,98.25,,03/21/25
0,97.75,0,0,,03/20/25
0,97.75,0,0,,03/19/25
0,96.75,0,0,,03/18/25
0,97.1,0,0,,03/17/25
97.5,97.5,97.5,97.5,,03/14/25
100,98.5,100,98.5,,03/13/25
0,97.95,0,0,,03/12/25
99.25,99.1,99.25,98.5,,03/11/25
99.5,99.5,100,99.5,,03/10/25
97.5,100.45,100.45,97.5,,03/07/25
96.8,96.7,96.8,96.7,,03/06/25
97.75,96.5,97.75,96.5,,03/05/25
96.45,96.25,97.25,96.25,,03/04/25
93.2,96.25,96.25,93.2,,03/03/25
0,93.05,0,0,,02/28/25
0,99.75,0,0,,02/27/25
0,99.9,0,0,,02/26/25
0,99.75,0,0,,02/25/25
0,100.1,0,0,,02/24/25
0,99.75,0,0,,02/21/25
0,100.4,0,0,,02/20/25
101.9,101.9,101.9,101.9,,02/19/25
99,99,99,99,,02/18/25
0,99.5,0,0,,02/17/25
100,100.15,100.15,100,,02/14/25
0,102.15,0,0,,02/13/25
0,103.1,0,0,,02/12/25
0,102.9,0,0,,02/11/25
105.5,105.5,105.5,105.5,,02/10/25
105,104.75,105,104.75,,02/07/25
105,106.25,106.5,105,,02/06/25
104.75,105.5,105.95,104.5,,02/05/25
107.8,105.55,107.8,105.4,,02/04/25
110.75,109.05,110.75,109.05,,02/03/25
0,110.5,0,0,,01/31/25
110.3,110.1,110.3,110.1,,01/30/25
110.75,110.75,110.75,110.75,,01/29/25
110.25,110.25,110.25,110.25,,01/28/25
0,109.1,0,0,,01/27/25
0,108.65,0,0,,01/24/25
109.5,109.5,109.5,109.5,,01/23/25
110.75,108.5,111.25,108.5,,01/22/25
0,112.2,0,0,,01/21/25
0,110.7,0,0,,01/20/25
109,109,109,109,,01/17/25
107,108,108,107,,01/16/25
105,106.95,106.95,105,,01/15/25
108.85,108.85,108.85,108.85,,01/14/25
107.25,107.25,107.25,107.25,,01/13/25
103.3,104,104,103.3,,01/10/25
107,105.75,107,104.25,,01/09/25
109,108,109.05,108,,01/08/25
109.05,109.8,110,109,,01/07/25
111,111.2,111.2,110.45,,01/06/25
114,113.3,114,113.3,,01/03/25
114,114.2,115.5,114,,01/02/25
114,114,114.5,114,,12/31/24
112.65,112.25,112.95,112.1,,12/30/24
0,112.95,0,0,,12/27/24
0,112,0,0,,12/24/24
0,112.3,0,0,,12/23/24
0,111.85,0,0,,12/20/24
111.5,111.5,111.5,111.5,,12/19/24
111.5,111.5,111.5,111.5,,12/18/24
111.75,112,112,111.75,,12/17/24
0,111.3,0,0,,12/16/24
0,112.75,0,0,,12/13/24
113.5,113.25,113.5,113.25,,12/12/24
113.75,113.75,113.75,113.75,,12/11/24
114,112.75,114,112.75,,12/10/24
113.75,113.75,113.75,113.75,,12/09/24
113.75,113.75,113.75,113.75,,12/06/24
115.25,114.5,115.25,114.5,,12/05/24
0,115.2,0,0,,12/04/24
117.25,116.25,117.25,116.25,,12/03/24
120.9,118.15,120.9,117.95,,12/02/24
0,118.85,0,0,,11/29/24
0,121.6,0,0,,11/28/24
0,121.35,0,0,,11/27/24
122,121.85,122,121.85,,11/26/24
122.5,122.5,122.5,122.5,,11/25/24
0,122.35,0,0,,11/22/24
0,122.6,0,0,,11/21/24
123,123,123,123,,11/20/24
0,122.4,0,0,,11/19/24
122.5,122.5,122.5,122.5,,11/18/24
122.25,122,122.25,122,,11/15/24
121.5,121.5,121.5,121.5,,11/14/24
0,120.45,0,0,,11/13/24
120.4,120.75,120.75,120.3,,11/12/24
120.5,120.5,120.5,120.5,,11/11/24
119.5,119.75,119.75,119.5,,11/08/24
118.5,118.5,118.5,118.5,,11/07/24
0,117.2,0,0,,11/06/24
119.5,118.8,119.5,118.8,,11/05/24
119.3,119.25,119.3,119.25,,11/04/24
120,118.7,120,118.7,,11/01/24
120.05,118.25,120.05,118.25,,10/31/24
120.65,120.8,120.8,120,,10/30/24
119.75,121.35,122,119.75,,10/29/24
119.5,120,120.05,118.55,,10/28/24
0,121.65,0,0,,10/25/24
119.25,119,119.25,119,,10/24/24
119.25,119.25,119.25,119.25,,10/23/24
119.5,118.5,119.5,118.5,,10/22/24
121.5,118,122.75,118,,10/21/24
118.75,118.75,118.75,118.75,,10/18/24
118.5,118.5,118.5,118.5,,10/17/24
119,119,119,119,,10/16/24
119.5,119.5,119.5,119.5,,10/15/24
120,120,120,120,,10/14/24
120.25,120.25,120.5,120.25,,10/11/24
119,119.5,119.5,119,,10/10/24
119.35,119.05,119.35,119.05,,10/09/24
120.5,120,120.5,120,,10/08/24
121.25,121.25,121.25,121.25,,10/07/24
118.75,121.5,121.5,118.75,,10/04/24
115.9,115.75,115.9,115.75,,10/03/24
116.55,116,116.75,116,,10/02/24
118.05,117.7,118.05,115.8,,10/01/24
120.25,119,120.25,119,,09/30/24
0,118.25,0,0,,09/27/24
0,114.95,0,0,,09/26/24
0,114.95,0,0,,09/25/24
0,114.8,0,0,,09/24/24
115,115,115,115,,09/23/24
0,114.35,0,0,,09/20/24
114.75,114.75,114.75,114.75,,09/19/24
114,114,114,114,,09/18/24
0,114.65,0,0,,09/17/24
0,112.65,0,0,,09/16/24
113.4,114,114,113.4,,09/13/24
112.25,112.25,112.25,112.25,,09/12/24
0,113.45,0,0,,09/11/24
114.3,114.3,114.3,114.3,,09/10/24
114.75,114.5,114.75,114.5,,09/09/24
115.5,115.5,115.5,115.5,,09/06/24
113.9,113.65,113.9,113.65,,09/05/24
116,114.25,116,114.25,,09/04/24
119,116,119,116,,09/03/24
119.75,118.75,119.75,118.75,,09/02/24
0,120.5,0,0,,08/30/24
121.3,121.3,121.3,121.3,,08/29/24
121.5,121.5,121.5,121.5,,08/28/24
0,121,0,0,,08/27/24
0,120.4,0,0,,08/26/24
0,120.5,0,0,,08/23/24
121.1,120.5,121.1,120.5,,08/22/24
0,120.5,0,0,,08/21/24
122.1,122.1,122.1,122.1,,08/20/24
0,122.5,0,0,,08/19/24
0,120.65,0,0,,08/16/24
0,122.25,0,0,,08/15/24
122.85,122.85,122.85,122.85,,08/14/24
0,121.75,0,0,,08/13/24
123.55,124,124,123.55,,08/12/24
123.05,124,124,123.05,,08/09/24
121.45,121.5,121.55,121.45,,08/08/24
0,121.1,0,0,,08/07/24
0,120.8,0,0,,08/06/24
119.2,119.3,119.3,119.2,,08/05/24
120.75,121.95,121.95,120.75,,08/02/24
118.95,120.65,120.75,118.95,,08/01/24
116.6,116.5,116.75,116.5,,07/31/24
116,116.8,116.8,115.2,,07/30/24
115.45,115.3,115.6,115.2,,07/29/24
0,114.05,0,0,,07/26/24
0,106.25,0,0,,07/25/24
106.7,106.7,106.7,106.7,,07/24/24
105.5,105.5,105.5,105.5,,07/23/24
0,105,0,0,,07/22/24
0,105.2,0,0,,07/19/24
104.4,104.4,104.4,104.4,,07/18/24
106.5,105,106.5,105,,07/17/24
106,108,108,106,,07/16/24
105,105,105,105,,07/15/24
0,104.3,0,0,,07/12/24
102.3,102.3,102.3,102.3,,07/11/24
102.75,102,103,102,,07/10/24
102.75,102.95,102.95,102.7,,07/09/24
105,105,105,105,,07/08/24
0,105,0,0,,07/05/24
104.45,105,105,104.45,,07/04/24
103.75,103.75,103.75,103.75,,07/03/24
102.95,102.7,102.95,102.6,,07/02/24
104.6,103.2,104.6,103,,07/01/24
0,104.1,0,0,,06/28/24
109.7,109.7,109.7,109.7,,06/27/24
0,108.6,0,0,,06/26/24
0,108.9,0,0,,06/25/24
0,108.4,0,0,,06/24/24
109.75,109.75,109.75,109.75,,06/21/24
0,110.75,0,0,,06/20/24
110,110.75,110.75,110,,06/19/24
0,109.25,0,0,,06/18/24
109,109,109,109,,06/17/24
0,109.6,0,0,,06/14/24
111,111,111,111,,06/13/24
108.95,110.95,110.95,108.95,,06/12/24
109,109,109,109,,06/11/24
108,106.5,109.25,106.5,,06/10/24
108,108,108,108,,06/07/24
110.5,108.15,111.05,108.15,,06/06/24
0,112.1,0,0,,06/05/24
118,116.65,118,116.3,,06/04/24
119,119,121.6,119,,06/03/24
0,118.4,0,0,,05/31/24
0,105.55,0,0,,05/30/24
0,105.25,0,0,,05/29/24
0,104.85,0,0,,05/28/24
0,104.05,0,0,,05/27/24
0,105.1,0,0,,05/24/24
0,105.2,0,0,,05/23/24
105.5,103.65,105.5,103.65,,05/22/24
107.25,106.75,107.25,106.75,,05/21/24
106.75,106.75,106.75,106.75,,05/20/24
106.5,105,106.5,105,,05/17/24
104.5,106.5,106.5,104.5,,05/16/24
105,104,105,104,,05/15/24
105,105,105,105,,05/14/24
105.55,105.5,105.55,105.5,,05/13/24
108.05,107,108.05,107,,05/10/24
107,107.5,107.5,107,,05/09/24
107.5,106,107.5,106,,05/08/24
109,110,110,109,,05/07/24
109,109,109,109,,05/06/24
108,107.9,108,107.9,,05/03/24
106,108,108,106,,05/02/24
0,107.1,0,0,,05/01/24
102.35,103,103,102.35,,04/30/24
108.95,101.7,108.95,101,,04/29/24
117.5,117.5,117.5,117.5,,04/26/24
118.25,118.5,118.5,118.25,,04/25/24
0,118.2,0,0,,04/24/24
0,118.9,0,0,,04/23/24
0,118.65,0,0,,04/22/24
0,120,0,0,,04/19/24
119.1,120,120,119.1,,04/18/24
120,120,120,120,,04/17/24
121.5,121.5,121.5,121.5,,04/16/24
121,121.3,121.3,121,,04/15/24
0,121.3,0,0,,04/12/24
119.5,121,121,119.5,,04/11/24
118,118.3,118.3,118,,04/10/24
118.75,118,118.75,118,,04/09/24
118,118,118,118,,04/08/24
117,118,118.5,117,,04/05/24
116.5,115.75,116.5,115.75,,04/04/24
119.55,118.25,121.5,118.25,,04/03/24
119,120.75,121.6,119,,04/02/24
0,119.55,0,0,,04/01/24
0,119.55,0,0,,03/28/24
0,113.95,0,0,,03/27/24
0,113.6,0,0,,03/26/24
0,113.75,0,0,,03/25/24
113.25,113.25,113.25,113.25,,03/22/24
113,113,113,113,,03/21/24
0,111.75,0,0,,03/20/24
112.85,112.75,112.85,111.75,,03/19/24
0,112.15,0,0,,03/18/24
115.5,115.5,115.5,115.5,,03/15/24
109.5,112.9,112.9,109.5,,03/14/24
0,109.8,0,0,,03/13/24
0,109.4,0,0,,03/12/24
0,108.65,0,0,,03/11/24
0,111,0,0,,03/08/24
111.7,113,113,111.7,,03/07/24
112.35,113.25,115.5,112.35,,03/06/24
112.85,112,112.85,111.95,,03/05/24
111.25,111.25,111.25,111.25,,03/04/24
107,107,107,107,,03/01/24
104.25,101,104.3,101,,02/29/24
103,104,105.7,103,,02/28/24
98.7,100.5,100.5,98,,02/27/24
97,99.3,99.3,95.95,,02/26/24
0,93.4,0,0,,02/23/24
95,95.75,95.75,95,,02/22/24
0,95.25,0,0,,02/21/24
0,94.55,0,0,,02/20/24
0,94.4,0,0,,02/19/24
0,94.5,0,0,,02/16/24
0,94.45,0,0,,02/15/24
93.5,93.5,93.5,93.5,,02/14/24
94.5,94.25,94.5,94.25,,02/13/24
94.25,94.25,94.25,94.25,,02/12/24
95.9,95.9,95.9,95.9,,02/09/24
98.2,97.9,98.2,97.9,,02/08/24
99.25,97.5,99.25,97.5,,02/07/24
97.75,97.75,97.75,97.75,,02/06/24
98,99,99,98,,02/05/24
98.2,98.7,98.7,98.2,,02/02/24
98.9,97.8,98.9,97.8,,02/01/24
97.2,99.75,99.75,97.2,,01/31/24
94.2,95.7,95.7,94.2,,01/30/24
95,94.75,95.5,94.7,,01/29/24
105.75,105.75,105.75,105.75,,01/26/24
0,105.6,0,0,,01/25/24
0,105.8,0,0,,01/24/24
0,105.5,0,0,,01/23/24
104.75,105.5,105.5,104.75,,01/22/24
104,106,106,104,,01/19/24
107.1,107.1,107.1,107.1,,01/18/24
107,107,107.15,107,,01/17/24
107.85,107.4,108,107.4,,01/16/24
107.25,107.25,107.25,107.25,,01/15/24
108.5,108.5,108.5,108.5,,01/12/24
108,106.5,108,106.5,,01/11/24
109,109,109,109,,01/10/24
111.65,111.25,111.65,111,,01/09/24
112.55,112.75,113.75,112.55,,01/08/24
113.65,116,116.5,112.65,,01/05/24
109.75,112,112,109.75,,01/04/24
106,109,109,106,,01/03/24
107.5,105.5,107.5,104.75,,01/02/24
0,108.3,0,0,,12/29/23
0,117.25,0,0,,12/28/23
118.95,118,118.95,118,,12/27/23
0,113.5,0,0,,12/26/23
117,117,117,117,,12/22/23
0,115.75,0,0,,12/21/23
116,116,116,116,,12/20/23
0,115.9,0,0,,12/19/23
0,117.2,0,0,,12/18/23
0,117,0,0,,12/15/23
118.9,118.9,118.9,118.9,,12/14/23
117.25,117.75,117.75,117.25,,12/13/23
0,117.8,0,0,,12/12/23
120.5,122,122,120.5,,12/11/23
123,123,126,122.6,,12/08/23
122,121.85,122,121.85,,12/07/23
120.5,120,122,120,,12/06/23
118.5,118.15,118.5,118.1,,12/05/23
119,119,119,118.6,,12/04/23
120,119.75,120,119,,12/01/23
116.5,116.5,116.5,116.5,,11/30/23
114.25,115,115,114.25,,11/29/23
115.5,114.5,115.6,114.05,,11/28/23
118.1,116.85,118.1,116.85,,11/27/23
0,119.9,0,0,,11/24/23
123.3,123.3,123.3,123.3,,11/23/23
122.5,122.5,122.5,122.5,,11/22/23
0,122.4,0,0,,11/21/23
